,zip,city,pop,state,loc
27027,92066,RANCHITA,389,CA,"['-116.539121', '33.24055']"
27028,92068,SAN LUIS REY,9471,CA,"['-117.306403', '33.294367']"
27029,92069,SAN MARCOS,45382,CA,"['-117.169716', '33.144386']"
27030,92070,SANTA YSABEL,1263,CA,"['-116.69635', '33.147579']"
27031,92071,SANTEE,52816,CA,"['-116.986154', '32.848636']"
27032,92075,SOLANA BEACH,12259,CA,"['-117.2598', '32.993739']"
27033,92082,VALLEY CENTER,13196,CA,"['-117.012232', '33.249046']"
27034,92083,VISTA,50641,CA,"['-117.245854', '33.187296']"
27035,92084,VISTA,38088,CA,"['-117.224285', '33.213118']"
27036,92086,WARNER SPRINGS,780,CA,"['-116.721385', '33.303666']"
27037,92101,SAN DIEGO,20265,CA,"['-117.159316', '32.71852']"
27038,92102,SAN DIEGO,45265,CA,"['-117.121858', '32.713893']"
27039,92103,SAN DIEGO,31123,CA,"['-117.163552', '32.746638']"
27040,92104,SAN DIEGO,44032,CA,"['-117.127189', '32.745425']"
27041,92105,SAN DIEGO,63344,CA,"['-117.094681', '32.7423']"
27042,92106,SAN DIEGO,27640,CA,"['-117.226829', '32.72725']"
27043,92107,SAN DIEGO,25913,CA,"['-117.243307', '32.742531']"
27044,92108,SAN DIEGO,8860,CA,"['-117.133525', '32.778327']"
27045,92109,SAN DIEGO,44804,CA,"['-117.240534', '32.796923']"
27046,92110,SAN DIEGO,26787,CA,"['-117.202847', '32.763476']"
27047,92111,SAN DIEGO,45487,CA,"['-117.17081', '32.797185']"
27048,92113,SAN DIEGO,44741,CA,"['-117.115257', '32.697047']"
27049,92114,SAN DIEGO,62258,CA,"['-117.05235', '32.705923']"
27050,92115,SAN DIEGO,51418,CA,"['-117.072056', '32.760742']"
27051,92116,SAN DIEGO,32279,CA,"['-117.124166', '32.762446']"
27052,92117,SAN DIEGO,49737,CA,"['-117.196536', '32.823948']"
27053,92118,CORONADO,16670,CA,"['-117.169823', '32.68069']"
27054,92119,SAN DIEGO,24135,CA,"['-117.026065', '32.803587']"
27055,92120,SAN DIEGO,25375,CA,"['-117.070708', '32.79581']"
27056,92121,SAN DIEGO,2286,CA,"['-117.203503', '32.891894']"
27057,92122,SAN DIEGO,30192,CA,"['-117.211507', '32.857736']"
27058,92123,SAN DIEGO,23541,CA,"['-117.139248', '32.797297']"
27059,92124,SAN DIEGO,29171,CA,"['-117.098613', '32.820113']"
27060,92126,SAN DIEGO,56676,CA,"['-117.140227', '32.916136']"
27061,92127,SAN DIEGO,11077,CA,"['-117.085596', '33.027854']"
27062,92128,SAN DIEGO,30437,CA,"['-117.068982', '33.00666']"
27063,92129,SAN DIEGO,43092,CA,"['-117.121308', '32.965185']"
27064,92130,SAN DIEGO,12681,CA,"['-117.225201', '32.955533']"
27065,92131,SAN DIEGO,16649,CA,"['-117.089758', '32.912343']"
27066,92135,SAN DIEGO,8122,CA,"['-117.19202', '32.702482']"
27067,92136,SAN DIEGO,11750,CA,"['-117.124678', '32.681585']"
27068,92139,SAN DIEGO,35577,CA,"['-117.047375', '32.680612']"
27069,92145,SAN DIEGO,3089,CA,"['-117.116518', '32.870365']"
27070,92154,SAN DIEGO,59925,CA,"['-117.070725', '32.575276']"
27071,92155,SAN DIEGO,1570,CA,"['-117.160335', '32.676144']"
27072,92173,SAN YSIDRO,30131,CA,"['-117.042976', '32.562567']"
27073,92201,CHIRIACO SUMMIT,47118,CA,"['-116.235729', '33.721899']"
27074,92210,INDIAN WELLS,2599,CA,"['-116.338129', '33.716334']"
27075,92220,BANNING,22545,CA,"['-116.889928', '33.92816']"
27076,92223,BEAUMONT,16176,CA,"['-116.970079', '33.950429']"
27077,92225,LOST LAKE,13852,CA,"['-114.597131', '33.605715']"
